0,1,2
1,1,1
2,1,1
3,1,0
4,1,1
5,1,1
6,1,0
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,0
15,1,2
16,1,1
17,1,0
18,1,1
19,1,2
20,1,1
21,1,2
22,1,1
23,1,2
24,1,2
25,1,2
26,1,2
27,1,1
28,1,2
29,1,1
30,1,1
31,1,1
32,1,1
33,1,2
34,1,2
35,1,2
36,1,2
37,1,0
38,1,2
39,1,0
40,1,2
41,1,0
42,1,2
43,1,1
44,1,0
45,1,2
46,1,2
47,1,1
48,1,1
49,1,2
50,1,2
51,1,0
52,1,1
53,1,0
54,1,0
55,1,1
56,1,2
57,1,2
58,1,2
59,1,0
60,1,0
61,1,0
62,1,1
63,1,2
0,1,1
1,1,0
2,1,0
3,1,2
4,1,0
5,1,2
6,1,2
7,1,1
8,1,1
9,1,1
10,1,0
11,1,0
12,1,2
13,1,2
14,1,1
15,1,2
16,1,2
17,1,0
18,1,1
19,1,0
20,1,2
21,1,1
22,1,1
23,1,2
24,1,1
25,1,2
26,1,1
27,1,0
28,1,1
29,1,2
30,1,1
31,1,2
32,1,2
33,1,2
34,1,2
35,1,2
