0,1,2
1,1,1
3,1,0
4,1,1
5,1,0
6,1,0
7,1,1
8,1,0
9,1,0
10,1,1
11,1,0
12,1,1
13,1,1
15,1,0
16,1,2
17,1,2
18,1,2
19,1,2
20,1,1
21,1,0
23,1,2
24,1,2
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,1
32,1,0
33,1,0
34,1,1
35,1,2
36,1,1
37,1,2
39,1,0
40,1,0
42,1,2
43,1,2
44,1,2
45,1,0
46,1,2
47,1,0
48,1,2
50,1,0
51,1,2
52,1,1
53,1,1
54,1,0
55,1,1
56,1,0
57,1,0
58,1,1
59,1,2
60,1,2
61,1,2
62,1,0
63,1,0
1,1,1
2,1,0
3,1,1
5,1,1
6,1,1
7,1,2
8,1,0
10,1,0
11,1,2
12,1,0
13,1,0
14,1,2
15,1,1
16,1,2
17,1,2
19,1,1
20,1,0
21,1,0
23,1,1
24,1,2
25,1,2
27,1,2
28,1,1
29,1,2
30,1,1
31,1,0
32,1,0
33,1,2
34,1,2
35,1,2
36,1,1
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,1
44,1,2
45,1,2
46,1,1
47,1,2
48,1,0
